comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha
stable,1,4.216965034285822e-5,0.6666666666666666,0,3.15
stable,1,4.216965034285822e-5,0.6666666666666666,0.05,0
stable,1,4.216965034285822e-5,0.6666666666666666,0.1,0
stable,1,4.216965034285822e-5,0.7083333333333333,0,3.12
stable,1,4.216965034285822e-5,0.7083333333333333,0.05,0
stable,1,4.216965034285822e-5,0.7083333333333333,0.1,0
stable,1,4.216965034285822e-5,0.75,0,2.93
stable,1,4.216965034285822e-5,0.75,0.05,0
stable,1,4.216965034285822e-5,0.75,0.1,0
stable,1,4.216965034285822e-5,0.7916666666666666,0,2.96
stable,1,4.216965034285822e-5,0.7916666666666666,0.05,0
stable,1,4.216965034285822e-5,0.7916666666666666,0.1,0
stable,1,4.216965034285822e-5,0.8333333333333333,0,3.15
stable,1,4.216965034285822e-5,0.8333333333333333,0.05,0
stable,1,4.216965034285822e-5,0.8333333333333333,0.1,0
stable,1,4.216965034285822e-5,0.875,0,3.06
stable,1,4.216965034285822e-5,0.875,0.05,0
stable,1,4.216965034285822e-5,0.875,0.1,0
stable,1,4.216965034285822e-5,0.9166666666666666,0,3.07
stable,1,4.216965034285822e-5,0.9166666666666666,0.05,0
stable,1,4.216965034285822e-5,0.9166666666666666,0.1,0
stable,1,4.216965034285822e-5,0.9583333333333333,0,3.15
stable,1,4.216965034285822e-5,0.9583333333333333,0.05,0
stable,1,4.216965034285822e-5,0.9583333333333333,0.1,0
stable,1,4.216965034285822e-5,1,0,3.18
stable,1,4.216965034285822e-5,1,0.05,0
stable,1,4.216965034285822e-5,1,0.1,0
stable,1,6.812920690579608e-5,0,0,3.95
stable,1,6.812920690579608e-5,0,0.05,0
stable,1,6.812920690579608e-5,0,0.1,0
stable,1,6.812920690579608e-5,0.041666666666666664,0,3.99
stable,1,6.812920690579608e-5,0.041666666666666664,0.05,0
stable,1,6.812920690579608e-5,0.041666666666666664,0.1,0
stable,1,6.812920690579608e-5,0.08333333333333333,0,3.87
stable,1,6.812920690579608e-5,0.08333333333333333,0.05,0
stable,1,6.812920690579608e-5,0.08333333333333333,0.1,0
stable,1,6.812920690579608e-5,0.125,0,3.7
stable,1,6.812920690579608e-5,0.125,0.05,0
stable,1,6.812920690579608e-5,0.125,0.1,0
stable,1,6.812920690579608e-5,0.16666666666666666,0,3.59
stable,1,6.812920690579608e-5,0.16666666666666666,0.05,0
stable,1,6.812920690579608e-5,0.16666666666666666,0.1,0
stable,1,6.812920690579608e-5,0.20833333333333331,0,3.5
stable,1,6.812920690579608e-5,0.20833333333333331,0.05,0
stable,1,6.812920690579608e-5,0.20833333333333331,0.1,0
stable,1,6.812920690579608e-5,0.25,0,3.29
stable,1,6.812920690579608e-5,0.25,0.05,0
stable,1,6.812920690579608e-5,0.25,0.1,0
stable,1,6.812920690579608e-5,0.29166666666666663,0,3.3
stable,1,6.812920690579608e-5,0.29166666666666663,0.05,0
stable,1,6.812920690579608e-5,0.29166666666666663,0.1,0
stable,1,6.812920690579608e-5,0.3333333333333333,0,3.39
stable,1,6.812920690579608e-5,0.3333333333333333,0.05,0
stable,1,6.812920690579608e-5,0.3333333333333333,0.1,0
stable,1,6.812920690579608e-5,0.375,0,3.37
stable,1,6.812920690579608e-5,0.375,0.05,0
stable,1,6.812920690579608e-5,0.375,0.1,0
stable,1,6.812920690579608e-5,0.41666666666666663,0,3.26
stable,1,6.812920690579608e-5,0.41666666666666663,0.05,0
stable,1,6.812920690579608e-5,0.41666666666666663,0.1,0
stable,1,6.812920690579608e-5,0.4583333333333333,0,3.27
stable,1,6.812920690579608e-5,0.4583333333333333,0.05,0
stable,1,6.812920690579608e-5,0.4583333333333333,0.1,0
stable,1,6.812920690579608e-5,0.5,0,3.1
stable,1,6.812920690579608e-5,0.5,0.05,0
stable,1,6.812920690579608e-5,0.5,0.1,0
stable,1,6.812920690579608e-5,0.5416666666666666,0,3.13
stable,1,6.812920690579608e-5,0.5416666666666666,0.05,0
