comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
equal,1,1.6155980984398728e-5,0.7083333333333333,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.7083333333333333,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.75,0,1.01,27,26.73267326732673
equal,1,1.6155980984398728e-5,0.75,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.75,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.75,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.75,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.7916666666666666,0,1,23,23
equal,1,1.6155980984398728e-5,0.7916666666666666,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.7916666666666666,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.7916666666666666,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.7916666666666666,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.8333333333333333,0,1,26,26
equal,1,1.6155980984398728e-5,0.8333333333333333,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.8333333333333333,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.8333333333333333,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.8333333333333333,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.875,0,1,26,26
equal,1,1.6155980984398728e-5,0.875,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.875,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.875,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.875,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.9166666666666666,0,1,24,24
equal,1,1.6155980984398728e-5,0.9166666666666666,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.9166666666666666,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.9166666666666666,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.9166666666666666,0.1,0,0,0
equal,1,1.6155980984398728e-5,0.9583333333333333,0,1,26,26
equal,1,1.6155980984398728e-5,0.9583333333333333,0.025,0,0,0
equal,1,1.6155980984398728e-5,0.9583333333333333,0.05,0,0,0
equal,1,1.6155980984398728e-5,0.9583333333333333,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,0.9583333333333333,0.1,0,0,0
equal,1,1.6155980984398728e-5,1,0,1,26,26
equal,1,1.6155980984398728e-5,1,0.025,0,0,0
equal,1,1.6155980984398728e-5,1,0.05,0,0,0
equal,1,1.6155980984398728e-5,1,0.07500000000000001,0,0,0
equal,1,1.6155980984398728e-5,1,0.1,0,0,0
equal,1,2.6101572156825386e-5,0,0,1.02,20,19.607843137254903
equal,1,2.6101572156825386e-5,0,0.025,0,0,0
equal,1,2.6101572156825386e-5,0,0.05,0,0,0
equal,1,2.6101572156825386e-5,0,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.041666666666666664,0,1.02,19,18.627450980392158
equal,1,2.6101572156825386e-5,0.041666666666666664,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.041666666666666664,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.041666666666666664,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.041666666666666664,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.08333333333333333,0,1.02,21,20.588235294117645
equal,1,2.6101572156825386e-5,0.08333333333333333,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.08333333333333333,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.08333333333333333,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.08333333333333333,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.125,0,1.02,22,21.56862745098039
equal,1,2.6101572156825386e-5,0.125,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.125,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.125,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.125,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.16666666666666666,0,1.02,21,20.588235294117645
equal,1,2.6101572156825386e-5,0.16666666666666666,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.16666666666666666,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.16666666666666666,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.16666666666666666,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.20833333333333331,0,1.01,24,23.762376237623762
equal,1,2.6101572156825386e-5,0.20833333333333331,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.20833333333333331,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.20833333333333331,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.20833333333333331,0.1,0,0,0
equal,1,2.6101572156825386e-5,0.25,0,1,21,21
equal,1,2.6101572156825386e-5,0.25,0.025,0,0,0
equal,1,2.6101572156825386e-5,0.25,0.05,0,0,0
equal,1,2.6101572156825386e-5,0.25,0.07500000000000001,0,0,0
equal,1,2.6101572156825386e-5,0.25,0.1,0,0,0
