comp,rep,dispersal,kernel_exp,extirp_prob,mean_alpha,gamma,beta
stable,1,1.6155980984398728e-5,0.41666666666666663,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.41666666666666663,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.41666666666666663,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.4583333333333333,0,2.38,31,13.025210084033613
stable,1,1.6155980984398728e-5,0.4583333333333333,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.4583333333333333,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.4583333333333333,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.4583333333333333,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.5,0,2.4,32,13.333333333333334
stable,1,1.6155980984398728e-5,0.5,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.5,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.5,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.5,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.5416666666666666,0,2.39,32,13.389121338912133
stable,1,1.6155980984398728e-5,0.5416666666666666,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.5416666666666666,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.5416666666666666,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.5416666666666666,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.5833333333333333,0,2.44,28,11.475409836065573
stable,1,1.6155980984398728e-5,0.5833333333333333,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.5833333333333333,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.5833333333333333,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.5833333333333333,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.625,0,2.32,33,14.224137931034484
stable,1,1.6155980984398728e-5,0.625,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.625,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.625,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.625,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.6666666666666666,0,2.39,29,12.13389121338912
stable,1,1.6155980984398728e-5,0.6666666666666666,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.6666666666666666,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.6666666666666666,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.6666666666666666,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.7083333333333333,0,2.43,33,13.580246913580247
stable,1,1.6155980984398728e-5,0.7083333333333333,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.7083333333333333,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.7083333333333333,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.7083333333333333,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.75,0,2.37,36,15.189873417721518
stable,1,1.6155980984398728e-5,0.75,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.75,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.75,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.75,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.7916666666666666,0,2.31,32,13.852813852813853
stable,1,1.6155980984398728e-5,0.7916666666666666,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.7916666666666666,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.7916666666666666,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.7916666666666666,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.8333333333333333,0,2.46,27,10.975609756097562
stable,1,1.6155980984398728e-5,0.8333333333333333,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.8333333333333333,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.8333333333333333,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.8333333333333333,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.875,0,2.38,32,13.445378151260504
stable,1,1.6155980984398728e-5,0.875,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.875,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.875,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.875,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.9166666666666666,0,2.39,27,11.297071129707112
stable,1,1.6155980984398728e-5,0.9166666666666666,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.9166666666666666,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.9166666666666666,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.9166666666666666,0.1,0,0,0
stable,1,1.6155980984398728e-5,0.9583333333333333,0,2.46,31,12.601626016260163
stable,1,1.6155980984398728e-5,0.9583333333333333,0.025,0,0,0
stable,1,1.6155980984398728e-5,0.9583333333333333,0.05,0,0,0
stable,1,1.6155980984398728e-5,0.9583333333333333,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,0.9583333333333333,0.1,0,0,0
stable,1,1.6155980984398728e-5,1,0,2.34,32,13.675213675213676
stable,1,1.6155980984398728e-5,1,0.025,0,0,0
stable,1,1.6155980984398728e-5,1,0.05,0,0,0
stable,1,1.6155980984398728e-5,1,0.07500000000000001,0,0,0
stable,1,1.6155980984398728e-5,1,0.1,0,0,0
stable,1,2.6101572156825386e-5,0,0,2.61,28,10.727969348659004
stable,1,2.6101572156825386e-5,0,0.025,0,0,0
stable,1,2.6101572156825386e-5,0,0.05,0,0,0
stable,1,2.6101572156825386e-5,0,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.041666666666666664,0,2.54,27,10.62992125984252
stable,1,2.6101572156825386e-5,0.041666666666666664,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.041666666666666664,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.041666666666666664,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.041666666666666664,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.08333333333333333,0,2.39,25,10.460251046025103
stable,1,2.6101572156825386e-5,0.08333333333333333,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.08333333333333333,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.08333333333333333,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.08333333333333333,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.125,0,2.57,28,10.894941634241246
stable,1,2.6101572156825386e-5,0.125,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.125,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.125,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.125,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.16666666666666666,0,2.53,27,10.671936758893281
stable,1,2.6101572156825386e-5,0.16666666666666666,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.16666666666666666,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.16666666666666666,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.16666666666666666,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.20833333333333331,0,2.38,26,10.92436974789916
stable,1,2.6101572156825386e-5,0.20833333333333331,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.20833333333333331,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.20833333333333331,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.20833333333333331,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.25,0,2.43,28,11.522633744855966
stable,1,2.6101572156825386e-5,0.25,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.25,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.25,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.25,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.29166666666666663,0,2.5,27,10.8
stable,1,2.6101572156825386e-5,0.29166666666666663,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.29166666666666663,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.29166666666666663,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.29166666666666663,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.3333333333333333,0,2.55,28,10.980392156862745
stable,1,2.6101572156825386e-5,0.3333333333333333,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.3333333333333333,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.3333333333333333,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.3333333333333333,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.375,0,2.39,29,12.13389121338912
stable,1,2.6101572156825386e-5,0.375,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.375,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.375,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.375,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.41666666666666663,0,2.47,29,11.740890688259109
stable,1,2.6101572156825386e-5,0.41666666666666663,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.41666666666666663,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.41666666666666663,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.41666666666666663,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.4583333333333333,0,2.29,30,13.100436681222707
stable,1,2.6101572156825386e-5,0.4583333333333333,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.4583333333333333,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.4583333333333333,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.4583333333333333,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.5,0,2.3,31,13.478260869565219
stable,1,2.6101572156825386e-5,0.5,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.5,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.5,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.5,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.5416666666666666,0,2.45,30,12.244897959183673
stable,1,2.6101572156825386e-5,0.5416666666666666,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.5416666666666666,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.5416666666666666,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.5416666666666666,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.5833333333333333,0,2.42,29,11.983471074380166
stable,1,2.6101572156825386e-5,0.5833333333333333,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.5833333333333333,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.5833333333333333,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.5833333333333333,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.625,0,2.19,32,14.611872146118722
stable,1,2.6101572156825386e-5,0.625,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.625,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.625,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.625,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.6666666666666666,0,2.45,32,13.061224489795917
stable,1,2.6101572156825386e-5,0.6666666666666666,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.6666666666666666,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.6666666666666666,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.6666666666666666,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.7083333333333333,0,2.43,30,12.345679012345679
stable,1,2.6101572156825386e-5,0.7083333333333333,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.7083333333333333,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.7083333333333333,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.7083333333333333,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.75,0,2.42,33,13.636363636363637
stable,1,2.6101572156825386e-5,0.75,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.75,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.75,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.75,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.7916666666666666,0,2.3,32,13.913043478260871
stable,1,2.6101572156825386e-5,0.7916666666666666,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.7916666666666666,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.7916666666666666,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.7916666666666666,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.8333333333333333,0,2.26,33,14.601769911504427
stable,1,2.6101572156825386e-5,0.8333333333333333,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.8333333333333333,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.8333333333333333,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.8333333333333333,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.875,0,2.41,29,12.033195020746888
stable,1,2.6101572156825386e-5,0.875,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.875,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.875,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.875,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.9166666666666666,0,2.39,31,12.970711297071128
stable,1,2.6101572156825386e-5,0.9166666666666666,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.9166666666666666,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.9166666666666666,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.9166666666666666,0.1,0,0,0
stable,1,2.6101572156825386e-5,0.9583333333333333,0,2.43,30,12.345679012345679
stable,1,2.6101572156825386e-5,0.9583333333333333,0.025,0,0,0
stable,1,2.6101572156825386e-5,0.9583333333333333,0.05,0,0,0
stable,1,2.6101572156825386e-5,0.9583333333333333,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,0.9583333333333333,0.1,0,0,0
stable,1,2.6101572156825386e-5,1,0,2.38,32,13.445378151260504
stable,1,2.6101572156825386e-5,1,0.025,0,0,0
stable,1,2.6101572156825386e-5,1,0.05,0,0,0
stable,1,2.6101572156825386e-5,1,0.07500000000000001,0,0,0
stable,1,2.6101572156825386e-5,1,0.1,0,0,0
stable,1,4.216965034285822e-5,0,0,2.57,19,7.392996108949417
stable,1,4.216965034285822e-5,0,0.025,0,0,0
stable,1,4.216965034285822e-5,0,0.05,0,0,0
stable,1,4.216965034285822e-5,0,0.07500000000000001,0,0,0
stable,1,4.216965034285822e-5,0,0.1,0,0,0
stable,1,4.216965034285822e-5,0.041666666666666664,0,2.64,23,8.712121212121211
stable,1,4.216965034285822e-5,0.041666666666666664,0.025,0,0,0
stable,1,4.216965034285822e-5,0.041666666666666664,0.05,0,0,0
stable,1,4.216965034285822e-5,0.041666666666666664,0.07500000000000001,0,0,0
stable,1,4.216965034285822e-5,0.041666666666666664,0.1,0,0,0
stable,1,4.216965034285822e-5,0.08333333333333333,0,2.59,21,8.108108108108109
stable,1,4.216965034285822e-5,0.08333333333333333,0.025,0,0,0
stable,1,4.216965034285822e-5,0.08333333333333333,0.05,0,0,0
stable,1,4.216965034285822e-5,0.08333333333333333,0.07500000000000001,0,0,0
stable,1,4.216965034285822e-5,0.08333333333333333,0.1,0,0,0
stable,1,4.216965034285822e-5,0.125,0,2.76,26,9.420289855072465
stable,1,4.216965034285822e-5,0.125,0.025,0,0,0
stable,1,4.216965034285822e-5,0.125,0.05,0,0,0
stable,1,4.216965034285822e-5,0.125,0.07500000000000001,0,0,0
stable,1,4.216965034285822e-5,0.125,0.1,0,0,0
stable,1,4.216965034285822e-5,0.16666666666666666,0,2.46,21,8.536585365853659
stable,1,4.216965034285822e-5,0.16666666666666666,0.025,0,0,0
stable,1,4.216965034285822e-5,0.16666666666666666,0.05,0,0,0
stable,1,4.216965034285822e-5,0.16666666666666666,0.07500000000000001,0,0,0
stable,1,4.216965034285822e-5,0.16666666666666666,0.1,0,0,0
stable,1,4.216965034285822e-5,0.20833333333333331,0,2.58,28,10.852713178294573
stable,1,4.216965034285822e-5,0.20833333333333331,0.025,0,0,0
stable,1,4.216965034285822e-5,0.20833333333333331,0.05,0,0,0
stable,1,4.216965034285822e-5,0.20833333333333331,0.07500000000000001,0,0,0
stable,1,4.216965034285822e-5,0.20833333333333331,0.1,0,0,0
stable,1,4.216965034285822e-5,0.25,0,2.44,29,11.885245901639344
stable,1,4.216965034285822e-5,0.25,0.025,0,0,0
