rep,condition,disp_rate,kernel_exp,disturb_rate,temp_noise_color,temp_noise_sd,spat_heterogeneity,env_temp_cv_mean.env_temp_cv_mean,env_spat_cv_mean.env_spat_cv_mean,CV_S_L,CV_C_L,CV_S_R,CV_C_R,phi_S_L2R,phi_C_L2R,phi_S2C_L,phi_S2C_R,alpha_div,beta_div,gamma_div,beta_spatial,beta_temporal,local_dsr_richness,local_dsr_cv
1,stable,0.026366508987303583,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.4092456676319762,0.09051400418041515,0.1646878288663292,0.019078383934951017,0.4024180141460377,0.21077825589202115,0.22117278529582873,0.115845743223904,6.7887,2.0625170715438204,14,0.4008800066713614,0.07325568170690411,6.7887,0.09075627832816223
1,stable,0.04832930238571752,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.4285185125287577,0.08999834977382079,0.17111717929124706,0.025497036217237982,0.3993227230288294,0.28330559706167746,0.21002208105952255,0.1490033690529762,7.658299999999996,1.5672888280687771,12,0.4258243858199291,0.07344697656417085,7.6583,0.09012231686623076
1,stable,0.08858667904100823,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.4442620001125558,0.08872104317827659,0.2040028763593477,0.025571710657694723,0.45919497122793,0.2882259917335595,0.19970432572625774,0.12534975542526458,8.389299999999999,1.4307524191003367,12,0.3545563086076582,0.07677707531807251,8.3893,0.08878037763074152
1,stable,0.1623776739188721,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.47338729353809206,0.08833266758126478,0.243510076928764,0.026754730767311573,0.5143992672654394,0.30288602733182046,0.18659703964816476,0.10987114416270483,9.506899999999996,1.3713593043637808,13,0.2625123292993805,0.0841097102405974,9.5069,0.088507797418759
1,stable,0.2976351441631319,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.4184895405954952,0.08370441947676568,0.2941308112159037,0.02210915559644379,0.7028390979553907,0.26413367101340157,0.20001555918854597,0.07516776465902034,7.545599999999997,1.1959889706726692,9,0.10297972953168491,0.06971889468833818,7.5456,0.08383916766057914
1,stable,0.5455594781168515,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.44125061190820203,0.0830910395626108,0.33318177875348887,0.017310108458480338,0.7550851370214171,0.2083270175653154,0.1883080438195451,0.05195394695124539,8.749300000000003,1.1498777059697456,10,0.08675902712000733,0.07937735947399949,8.7493,0.08336580934877284
1,stable,1,0.1111111111111111,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.3637430367959521,0.08339336843985214,0.2839458449521697,0.01717045988650719,0.780622077204062,0.20589718592421968,0.2292645081935495,0.0604708967986467,6.6312,1.0561608592562264,7,0.03714932625967953,0.05275226579948641,6.6312,0.08431264159278004
1,stable,1e-5,0.2222222222222222,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.19640769427941596,0.0912843783081867,0.07940653433719115,0.0197782168217646,0.4042944174286005,0.21666595301762404,0.46476986883376664,0.2490754317242781,3.1698999999999984,9.464029416573291,30,0.7277267404883592,0.009471355146101078,3.1699,0.09242305059909156
1,stable,1.8329807108324375e-5,0.2222222222222222,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.20060998672620592,0.09203887055768052,0.08447984536404693,0.017317091336663426,0.42111485446308156,0.18814975924558797,0.4587950583103118,0.2049848844069175,3.086200000000003,10.368835360849454,32,0.765098537575486,0.009895422254127106,3.0862,0.09334051011654881
1,stable,3.359818286283781e-5,0.2222222222222222,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.202444148840323,0.09112526042342826,0.08425685572530565,0.014819437330359037,0.4161980289771818,0.16262710538766226,0.45012543432560725,0.17588405362138593,3.124799999999998,10.900006290610412,34.06,0.7717423474070593,0.011663572459453458,3.1248,0.09200919372725049
1,stable,6.158482110660267e-5,0.2222222222222222,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.20748059296613802,0.08978119333937316,0.0944716150072564,0.017181204775294546,0.4553274774121871,0.19136752516030325,0.4327209212961231,0.18186631798318312,3.158599999999999,9.498178780056989,30,0.77329871935043,0.014835818872542676,3.1586,0.09119403744297248
1,stable,1.1288378916846884e-4,0.2222222222222222,0,0,0.1,0.1,0.2682452857039555,0.30119202450540333,0.21242056209878923,0.09220181733921629,0.08504586169316983,0.01780436725335277,0.40036548652770265,0.1931021292980526,0.43405316523141724,0.20935018940236888,3.1563999999999988,10.455330347416634,33,0.7759951285939788,0.015573446724730395,3.1564,0.09384148679422552
